Month - Year,Total Number of Accident,Accident Fatal,Accident Non-Fatal,Person Killed,Person Injured,Total Number of vehicles Involves
Pakistan,,,,,,
2012-2013,8988,3884,5104,4719,9710,9876
2013-2014,8359,3500,4859,4348,9777,9423
2014-2015,7865,3214,4651,3954,9661,8949
2015-2016,9100,3591,5509,4448,11544,10636
2016-2017,9582,4036,5546,5047,12696,11317
2017-2018,11121,4829,6292,5948,14489,13134
2018-2019,10779,4878,5901,5932,13219,12908
2019-2020,9701,4403,5298,5436,12317,12894
2020-2021,10429,4721,5708,5816,12886,15351
2021-Jan,769,370,399,458,903,1090
2021-Feb,823,381,442,486,1080,1194
2021-Mar,819,400,419,482,1104,1293
2021-Apr,781,383,398,461,837,1151
2021-May,917,389,528,521,1264,1344
2021-Jun,913,366,547,424,1130,1372
2021-Jul,1018,404,614,534,1391,1499
2021-Aug,847,368,479,455,1043,1266
2021-Sep,864,348,516,401,985,1282
2021-Oct,921,403,518,490,1179,1551
2021-Nov,880,376,504,451,1102,1314
2021-Dec,827,378,449,445,1041,1245
Islamabad,,,,,,
2012-2013,201,107,94,109,180,212
2013-2014,256,120,136,132,206,256
2014-2015,216,107,109,118,182,217
2015-2016,244,120,124,140,209,244
2016-2017,226,127,99,129,124,216
2017-2018,259,157,102,167,162,259
2018-2019,238,127,111,136,134,239
2019-2020,189,111,78,118,121,189
2020-2021,201,128,73,141,123,211
2021-Jan,13,10,3,8,5,13
2021-Feb,20,11,9,15,14,20
2021-Mar,15,9,6,9,6,25
2021-Apr,12,9,3,11,4,12
2021-May,14,6,8,6,6,14
2021-Jun,22,15,7,15,8,22
2021-Jul,14,13,1,13,4,14
2021-Aug,17,11,6,14,11,17
2021-Sep,14,5,9,6,10,14
2021-Oct,11,7,4,7,14,11
2021-Nov,15,6,9,7,5,15
2021-Dec,29,11,18,11,10,29
Punjab,,,,,,
2012-2013,4587,2213,2374,2692,4515,4587
2013-2014,3696,1717,1979,2145,3941,3696
2014-2015,3054,1435,1619,1750,3652,3054
2015-2016,3288,1576,1712,2053,4550,3288
2016-2017,3819,1989,1830,2494,5231,3819
2017-2018,5093,2708,2385,3371,6772,5093
2018-2019,4823,2808,2015,3423,5916,4823
2019-2020,4294,2471,1823,3102,5746,5498
2020-2021,4531,2643,1888,3307,5776,7287
2021-Jan,346,208,138,269,422,519
2021-Feb,361,216,145,280,520,578
2021-Mar,340,224,116,286,518,602
2021-Apr,320,198,122,226,355,509
2021-May,374,210,164,288,498,590
2021-Jun,374,198,176,226,462,616
2021-Jul,453,242,211,346,678,742
2021-Aug,368,205,163,270,476,603
2021-Sep,394,204,190,244,471,647
2021-Oct,438,240,198,304,555,720
2021-Nov,409,226,183,274,577,673
2021-Dec,401,230,171,288,515,672
Sindh,,,,,,
2012-2013,935,582,353,696,637,960
2013-2014,945,613,332,791,893,1103
2014-2015,881,583,298,771,863,1029
2015-2016,924,634,290,749,754,1144
2016-2017,880,608,272,786,970,1009
2017-2018,848,586,262,802,838,1015
2018-2019,972,620,352,725,829,1142
2019-2020,858,572,286,741,741,1026
2020-2021,925,604,321,762,814,1061
2021-Jan,82,53,29,66,89,95
2021-Feb,87,56,31,74,105,94
2021-Mar,80,51,29,58,55,91
2021-Apr,79,62,17,82,54,86
2021-May,74,50,24,67,80,82
2021-Jun,72,44,28,56,52,84
2021-Jul,61,33,28,34,36,67
2021-Aug,77,51,26,54,45,86
2021-Sep,67,39,28,41,42,79
2021-Oct,58,35,23,41,74,66
2021-Nov,57,38,19,37,49,68
2021-Dec,73,55,18,57,83,83
Khyber Pakhtunkhwa,,,,,,
2012-2013,2968,846,2122,1059,4016,3736
2013-2014,3120,877,2243,1033,4257,3934
2014-2015,3399,942,2457,1137,4524,4260
2015-2016,4287,1083,3204,1299,5527,5490
2016-2017,4256,1103,3153,1317,5804,5736
2017-2018,4425,1119,3306,1295,6093,6052
2018-2019,4337,1097,3240,1318,5798,6062
2019-2020,3891,997,2894,1186,5069,5487
2020-2021,4277,1088,3189,1291,5598,6068
2021-Jan,289,79,210,85,327,403
2021-Feb,317,78,239,83,394,443
2021-Mar,342,93,249,104,462,510
2021-Apr,332,92,240,112,399,490
2021-May,413,98,315,131,617,596
2021-Jun,402,88,314,104,556,585
2021-Jul,443,92,351,109,621,601
2021-Aug,342,79,263,84,456,504
2021-Sep,336,81,255,90,389,460
2021-Oct,382,107,275,120,486,707
2021-Nov,360,85,275,109,435,497
2021-Dec,283,65,218,69,375,401
Balochistan,,,,,,
2012-2013,297,136,161,163,362,381
2013-2014,342,173,169,247,480,434
2014-2015,315,147,168,178,440,389
2015-2016,357,178,179,207,504,470
2016-2017,401,209,192,321,567,537
2017-2018,496,259,237,313,624,715
2018-2019,409,226,183,330,542,642
2019-2020,469,252,217,289,640,694
2020-2021,495,258,237,315,575,724
2021-Jan,39,20,19,30,60,60
2021-Feb,38,20,18,34,47,59
2021-Mar,42,23,19,25,63,65
2021-Apr,38,22,16,30,25,54
2021-May,42,25,17,29,63,62
2021-Jun,43,21,22,23,52,65
2021-Jul,47,24,23,32,52,75
2021-Aug,43,22,21,33,55,56
2021-Sep,53,19,34,20,73,82
2021-Oct,32,14,18,18,50,47
2021-Nov,39,21,18,24,36,61
2021-Dec,41,17,24,20,56,60
